# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  449.441472413         0.000000000           0.000013895                     
  450.006962930         0.000000000           0.000013705                     
  450.573134760         0.000000000           0.000013466                     
  451.140073068         0.000000000           0.000013186                     
  451.707692691         0.000000000           0.000012919                     
  452.276036209         0.000000000           0.000012715                     
  452.845103623         0.000000000           0.000012414                     
  453.414852351         0.000000000           0.000012147                     
  453.985367558         0.000000000           0.000011879                     
  454.556564078         0.000000000           0.000011553                     
  455.128484494         0.000000000           0.000011345                     
  455.701128806         0.000000000           0.000010996                     
  456.274497014         0.000000000           0.000010655                     
  456.848589118         0.000000000           0.000010361                     
  457.423405118         0.000000000           0.000010108                     
  457.998945014         0.000000000           0.000009746                     
  458.575208806         0.000000000           0.000009413                     
  459.152196494         0.000000000           0.000009037                     
  459.729908078         0.000000000           0.000008751                     
  460.308343558         0.000000000           0.000008364                     
  460.887502934         0.000000000           0.000007859                     
  461.467386207         0.000000000           0.000007431                     
  462.048035957         0.000000000           0.000007019                     
  462.629367021         0.000000000           0.000006544                     
  463.211464563         0.000000000           0.000006014                     
  463.794286001         0.000000000           0.000005457                     
  464.377831335         0.000000000           0.000004861                     
  464.962100565         9.450022697           8.385640995                     
  465.547136273         0.000016281           0.000003699                     
  466.132895878         0.000014636           0.000003973                     
  466.719379378         0.000017481           0.000003756                     
  467.306629356         0.000012951           0.000003656                     
  467.894603230         0.000009084           0.000003500                     
  468.483301001         0.000014880           0.000003759                     
  469.072765249         0.000014755           0.000003766                     
  469.662953393         0.000013282           0.000003890                     
  470.253865434         17.643291473          4.693568717                     
  470.845543952         0.000014925           0.000004206                     
  471.437988949         0.000016774           0.000003921                     
  472.031157842         0.000013710           0.000003686                     
  472.625050630         0.000012603           0.000003934                     
  473.219709897         0.000013754           0.000003968                     
  473.815135642         0.000014079           0.000004042                     
  474.411285282         0.000015013           0.000004061                     
  475.008201401         0.000013901           0.000004085                     
  475.605841416         0.000017773           0.000004095                     
  476.204290491         0.000011084           0.000003626                     
  476.803420880         0.000008904           0.000003598                     
  477.403360330         15.545186996          5.603599853                     
  478.004023675         6.626625061           1.869918735                     
  478.605453498         5.064124107           1.169622720                     
  479.207649800         2.438571692           0.799895272                     
  479.810569997         1.864909768           0.642668474                     
  480.414299255         2.471580505           0.571802885                     
  481.018752408         2.115858793           0.486418551                     
  481.623972040         2.019291878           0.448158863                     
  482.229958150         0.743836224           0.385024574                     
  482.836710738         0.000003061           0.000004050                     
  483.444229804         1.284186959           0.342450754                     
  484.052472766         1.206822991           0.307523010                     
  484.661524789         0.829389811           0.263051733                     
  485.271343289         0.690740943           0.281819779                     
  485.881928268         0.691680193           0.268935510                     
  486.493237142         0.000007917           0.000004362                     
  487.105355077         0.367793679           0.264891499                     
  487.718239490         0.405028403           0.255492940                     
  488.331890381         13.544123650          13.627545941                    
  488.946307750         0.542387009           0.235695765                     
  489.561576761         0.543299079           0.250937385                     
  490.177569669         1.036219120           0.230395968                     
  490.794286472         0.882671356           0.254763253                     
  491.411812336         0.594316304           0.244078128                     
  492.030104677         0.470504493           0.227667303                     
  492.649206079         1.010347724           0.256326608                     
  493.269073959         0.255857557           0.216374442                     
  493.889708318         0.619471073           0.237525595                     
  494.511109154         0.572474778           0.239019505                     
  495.133319050         0.416514814           0.241399273                     
  495.756295425         0.889564574           0.255985502                     
  496.380038278         0.945943654           0.283607313                     
  497.004590191         0.484190196           0.279916473                     
  497.629951164         0.636669636           0.286299691                     
  498.256078615         0.992818832           0.295568132                     
  498.882972545         1.137980103           0.318546863                     
  499.510675534         1.098386884           0.313647083                     
  500.139145002         1.205690861           0.342246577                     
  500.768423530         1.229709744           0.347380751                     
  501.398511118         0.972046196           0.363983358                     
  502.029365185         1.424220681           0.396183102                     
  502.661028311         1.521204591           0.413841649                     
  503.293500498         1.603094578           0.438114015                     
  503.926739163         1.890521765           0.470716332                     
  504.560786888         1.857542157           0.484333178                     
  505.195643673         2.031112671           0.509547812                     
  505.831266937         2.131115675           0.562198077                     
  506.467699260         2.071583033           0.659101922                     
  507.104940644         2.682215452           0.702834178                     
  507.742991088         3.433543444           0.764337681                     
  508.381850593         4.194187164           0.864321573                     
  509.021519157         3.875624418           0.929399480                     
  509.661954200         3.608717680           1.087936496                     
  510.303240885         5.506939411           1.283605447                     
  510.945294048         6.853795052           1.397631003                     
  511.588156272         0.000016156           0.000005220                     
  512.231870137         5.939785004           1.870945693                     
  512.876350481         7.021640301           2.193343945                     
  513.521639885         10.938451767          2.923019290                     
  514.167780932         14.111111641          3.851105166                     
  514.814688456         17.885009766          4.944168819                     
  515.462447623         30.654808044          6.429544675                     
  516.111015850         51.459297180          11.045703013                    
  516.760393137         107.807861328         21.094205782                    
  517.410579485         320.113342285         92.631452305                    
  518.061574893         0.000017408           0.000005304                     
  518.713421943         0.000017047           0.000005403                     
  519.366078053         0.000019938           0.000005486                     
  520.019543224         0.000024506           0.000005193                     
  520.673817454         0.000023364           0.000005613                     
  521.328943328         0.000022187           0.000005537                     
  521.984878261         0.000031978           0.000005797                     
  522.641664837         0.000021642           0.000005583                     
  523.299260473         0.000021169           0.000005530                     
  523.957665169         365.005920410         80.252841046                    
  524.616921507         100.097618103         19.480351342                    
  525.276986906         42.206859589          10.718346739                    
  525.937903947         33.917217255          6.961881412                     
  526.599672630         28.943216324          5.324217239                     
  527.262207792         19.640768051          4.062289834                     
  527.925637178         18.658813477          3.091240585                     
  528.589875624         15.690661430          2.627328280                     
  529.254965713         11.057058334          2.276028431                     
  529.920864861         12.662545204          2.027751635                     
  530.587615653         7.461363316           1.663161289                     
  531.255218086         8.875748634           1.487429511                     
  531.923629580         6.817830086           1.266563193                     
  532.592892716         6.059740067           1.132325020                     
  533.263007494         6.736175060           1.126295168                     
  533.933973915         6.109426975           0.964751165                     
  534.605791978         5.537797451           0.880111726                     
