# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  1137.280204904        0.000000013           0.020045545                     
  1138.347416301        0.000000013           0.018450055                     
  1139.415436090        0.000000013           0.016670682                     
  1140.484533733        0.069618508           0.014776508                     
  1141.554439769        0.884322643           0.012857985                     
  1142.625693123        0.885916531           0.012727829                     
  1143.697620137        0.841433227           0.012579030                     
  1144.770625005        0.831397116           0.012459622                     
  1145.844842461        0.833862245           0.012333714                     
  1146.919733577        0.832153201           0.012236121                     
  1147.996106744        0.829862237           0.012124713                     
  1149.073018838        0.805392385           0.012051794                     
  1150.151278251        0.809107482           0.011995082                     
  1151.230346055        0.802360713           0.011963693                     
  1152.310356983        0.811149776           0.011982253                     
  1153.391580498        0.815585554           0.011977570                     
  1154.473612404        0.824924707           0.012014423                     
  1155.556991630        0.819850028           0.012075952                     
  1156.641044515        0.812306046           0.012132160                     
  1157.726444719        0.824220419           0.012249469                     
  1158.812518582        0.847069085           0.012329425                     
  1159.899939764        0.844612122           0.012415262                     
  1160.988034606        0.855554700           0.012459609                     
  1162.077207304        0.859145164           0.012629284                     
  1163.167727320        0.857129753           0.012700200                     
  1164.258920996        0.849554062           0.012735861                     
  1165.351461990        0.881768465           0.012775724                     
  1166.444676645        0.875376523           0.012857837                     
  1167.539238618        0.877875745           0.012827849                     
  1168.634608982        0.865781784           0.012808370                     
  1169.730922470        0.858976901           0.012778280                     
  1170.828583277        0.878107071           0.012793087                     
  1171.927052476        0.861486733           0.012800671                     
  1173.026734261        0.851597965           0.012689487                     
  1174.127224438        0.854035616           0.012599288                     
  1175.228927203        0.851385236           0.012587643                     
  1176.331438358        0.846358955           0.012538416                     
  1177.435027369        0.850098789           0.012437630                     
  1178.539963698        0.839935303           0.012354031                     
  1179.645573688        0.822867274           0.012379219                     
  1180.752530996        0.838425279           0.012337172                     
  1181.860161964        0.841488183           0.012285395                     
  1182.969274982        0.849901736           0.012334010                     
  1184.079061661        0.859207034           0.012380430                     
  1185.189926194        0.842590988           0.012370584                     
  1186.302003315        0.844982624           0.012355521                     
  1187.415023559        0.856702030           0.012440656                     
  1188.529256390        0.872590065           0.012520808                     
  1189.644162880        0.875541747           0.012507575                     
  1190.760551421        0.863307476           0.012561965                     
  1191.877613622        0.867364407           0.012623635                     
  1192.996023142        0.868367493           0.012663892                     
  1194.115241054        0.874986291           0.012707132                     
  1195.235536820        0.866042197           0.012681297                     
  1196.357045174        0.860632718           0.012662393                     
  1197.479496651        0.870704412           0.012651047                     
  1198.603160715        0.860435903           0.012629457                     
  1199.727633171        0.855451107           0.012609178                     
  1200.853452945        0.862576485           0.012533275                     
  1201.979946379        0.853783727           0.012499800                     
  1203.107652401        0.858336151           0.012489948                     
  1204.236571009        0.851303577           0.012471655                     
  1205.366298009        0.847557187           0.012413739                     
  1206.497372327        0.841726065           0.012387109                     
  1207.629255038        0.838581920           0.012380813                     
  1208.762485067        0.839017153           0.012413135                     
  1209.896523487        0.840781212           0.012392126                     
  1211.031505031        0.843093693           0.012380666                     
  1212.167968626        0.851800382           0.012424916                     
  1213.305105880        0.851313055           0.012454244                     
  1214.443590454        0.852784574           0.012438620                     
  1215.583018151        0.836019576           0.012465394                     
  1216.723658434        0.849627614           0.012468881                     
  1217.865107110        0.859039485           0.012527074                     
  1219.007633640        0.857889175           0.012555208                     
  1220.151507489        0.858056188           0.012555904                     
  1221.296189730        0.854229331           0.012556224                     
  1222.442219290        0.858294129           0.012581486                     
  1223.589057242        0.852551997           0.012614030                     
  1224.737107780        0.867951035           0.012576670                     
  1225.886236174        0.867260337           0.012540682                     
  1227.036442422        0.866834223           0.012536648                     
  1228.187726527        0.854332268           0.012495569                     
  1229.340088486        0.837219715           0.012468189                     
  1230.493528300        0.839592755           0.012425364                     
  1231.647911238        0.847814023           0.012336390                     
  1232.803506763        0.852697909           0.012347088                     
  1233.960180143        0.837868810           0.012312373                     
  1235.117931379        0.843119025           0.012266295                     
  1236.276760469        0.836892009           0.012242046                     
  1237.436802147        0.852355301           0.012204590                     
  1238.597786948        0.853299677           0.012195292                     
  1239.759849604        0.854828298           0.012243781                     
  1240.922990116        0.856559992           0.012221007                     
  1242.087343214        0.838274300           0.012237165                     
  1243.252639436        0.830910325           0.012264980                     
  1244.419148245        0.830925345           0.012277100                     
  1245.586734910        0.859857202           0.012365652                     
  1246.755399429        0.874348462           0.012428734                     
  1247.925276536        0.857798874           0.012360000                     
  1249.096096766        0.848520100           0.012365055                     
  1250.267994851        0.858932137           0.012401567                     
  1251.440970791        0.856739819           0.012455288                     
  1252.615159318        0.873238266           0.012456859                     
  1253.790425701        0.876426816           0.012439895                     
  1254.966904671        0.841889322           0.012406525                     
  1256.144326764        0.843875408           0.012422939                     
  1257.322961444        0.879412889           0.012379599                     
  1258.502404516        0.859868646           0.012360108                     
  1259.683329638        0.851497114           0.012337835                     
  1260.865197884        0.845750213           0.012304378                     
  1262.048143985        0.844916582           0.012222638                     
  1263.232302674        0.861861765           0.012223480                     
  1264.417539217        0.861184001           0.012230709                     
  1265.603853616        0.842896819           0.012148029                     
  1266.791245870        0.827052236           0.012107864                     
  1267.979850711        0.835213006           0.012094024                     
  1269.169533407        0.843105614           0.012105118                     
  1270.360293958        0.838567197           0.012107295                     
  1271.552267097        0.831536710           0.012087151                     
  1272.745318091        0.841387212           0.012107801                     
  1273.939446940        0.846909046           0.012116978                     
  1275.134788376        0.814045787           0.012093729                     
  1276.330938203        0.835225463           0.012188693                     
  1277.528570082        0.852390766           0.012210128                     
  1278.727145083        0.849675715           0.012220379                     
  1279.926932672        0.843366563           0.012299375                     
  1281.127798116        0.862131834           0.012330306                     
  1282.329876147        0.851890266           0.012252853                     
  1283.533032034        0.838845253           0.012300642                     
  1284.737265776        0.847592354           0.012327000                     
  1285.942577372        0.864954531           0.012345114                     
  1287.149101556        0.860664427           0.012308041                     
  1288.356838327        0.842628837           0.012249487                     
  1289.565652954        0.861529231           0.012275775                     
  1290.775545435        0.824750125           0.012228889                     
  1291.986650504        0.845937073           0.012269292                     
  1293.198833428        0.847250700           0.012264638                     
  1294.412094207        0.850011170           0.012261766                     
